ENG_SUB_SERIES,ENG_MASTER_SERIES,ENG_MANUFACTURER
AE 2100D2,AE3007,Rolls-Royce
AE 2100D3,AE3007,Rolls-Royce
AE 3007A,AE3007,Rolls-Royce
AE 3007A1,AE3007,Rolls-Royce
AE 3007A1/1,AE3007,Rolls-Royce
AE 3007A1/2,AE3007,Rolls-Royce
AE 3007A1/3,AE3007,Rolls-Royce
AE 3007A1E,AE3007,Rolls-Royce
AE 3007A1P,AE3007,Rolls-Royce
AE 3007A2,AE3007,Rolls-Royce
AE 3007A3,AE3007,Rolls-Royce
AE 3007C1,AE3007,Rolls-Royce
AE 3007C2,AE3007,Rolls-Royce
AI-20,AI20,Ivchenko
AI-20A,AI20,Ivchenko
AI-20D,AI20,Ivchenko
AI-20D SRS 3,AI20,Ivchenko
AI-20D SRS 4,AI20,Ivchenko
AI-20D-5,AI20,Ivchenko
AI-20K,AI20,Ivchenko
AI-20M,AI20,Ivchenko
AI-24T,AI24,Ivchenko
AI-24VT,AI24,Ivchenko
AI-25,AI25,Ivchenko
AL-7PB,AL-7,Lyulka
ALF502D,ALF502,Textron-Lycoming (AVCO)
ALF502L-2C,ALF502,Textron-Lycoming (AVCO)
ALF502L-5C,ALF502,Textron-Lycoming (AVCO)
ALF502R-3,ALF502,Textron-Lycoming (AVCO)
ALF502R-3A,ALF502,Textron-Lycoming (AVCO)
ALF502R-5,ALF502,Textron-Lycoming (AVCO)
ALF502R-5-10,ALF502,Textron-Lycoming (AVCO)
AS907-1-1A (HTF7000),AS900,Honeywell
AS907-2-1A (HTF7350),AS900,Honeywell
AS907-2-1G (HTF7250G),AS900,Honeywell
AS907-2-1S (HTF7700L),AS900,Honeywell
AS907-3-1E (HTF7500E),AS900,Honeywell
AS977-1A,AS900,Honeywell
ASH-82T,ASH,Shvetsov
ASN 250-B17B,ASN250,Allison
ASN 250-B17F/2,ASN250,Rolls-Royce
ASN 501-D13,ASN501,Allison
ASN 501-D13A,ASN501,Allison
ASN 501-D13D,ASN501,Allison
ASN 501-D13H,ASN501,Allison
ASN 501-D15,ASN501,Allison
