AC_MODEL,AC_TYPE_CODE
1121 JET COMMANDER,5240
1121A JET COMMANDER,5240
1121B JET COMMANDER,5240
1121C JET COMMANDER,5240
328-300,6009
328-310,6009
351 STRATOLAUNCH,9351
367-80,8295
390 PREMIER I,5570
390 PREMIER IA,5570
390-2 HAWKER 200,5572
500 (CITATION I),5275
501 (CITATION I/SP),5275
510 (MUSTANG),5277
525 (CITATION M2),5278
525 (CITATIONJET),5279
525 (CJ1),5279
525 (CJ1+),5279
525(W) (CITATION M2),5278
525(W) (CITATIONJET),5279
525(W) (CJ1),5279
525(W) (CJ1+),5279
525A (CJ2),5280
525A (CJ2+),5280
525A(W) (CJ2),5280
525A(W) (CJ2+),5280
525B (CJ3),5281
525B (CJ3+),5281
525B(W) (CJ3),5281
525B(W) (CJ3+),5281
525C (CJ4),5304
550 (CITATION BRAVO),5285
550 (CITATION II),5283
551 (CITATION II/SP),5283
552 (T-47A),5284
560 (CITATION ENCORE),5286
560 (CITATION ENCORE+),5286
560 (CITATION ULTRA),5286
560 (CITATION V),5286
560XL (CITATION EXCEL),5287
560XL (CITATION XLS),5289
560XL (CITATION XLS+),5289
650 (CITATION VI),5291
650 (CITATION VII),5290
680 (SOVEREIGN),5292
680 (SOVEREIGN+),5294
680(W) (SOVEREIGN),5292
680A (LATITUDE),5293
680A (LATITUDE) (U-680A),5293
700 (LONGITUDE),5298
707-121,8310
707-121B,8318
707-123,8310
707-123B,8318
707-123B(F),8320
707-124,8310
707-131,8310
707-131(F),8313
707-131B,8318
707-138B,8318
707-139,8310
707-139B,8318
707-153B (VC-137B),8318
707-227,8325
707-227(F),8327
707-307C,8360
707-309C,8360
707-311C,8360
707-312B,8352
707-321,8332
707-321(F),8335
707-321B,8352
707-321C,8360
707-323B,8352
707-323C,8360
707-324C,8360
707-327C,8360
707-328,8332
707-328B,8352
707-328C,8360
707-329,8332
707-329C,8360
707-330B,8352
707-330C,8360
707-331,8332
707-331(F),8335
707-331B,8352
707-331C,8360
707-336B,8352
707-336C,8360
707-337B,8352
707-338C,8360
707-340C,8360
707-341C,8360
707-344,8332
707-344B,8352
707-344C,8360
707-345C,8360
707-347C,8360
707-348C,8360
707-349C,8360
707-351B,8352
707-351C,8360
707-355C,8360
707-358B,8352
707-358C,8360
707-359B,8352
707-360C,8360
707-365C,8360
707-366C,8360
707-368C,8360
707-369C,8360
707-370C,8360
707-373C,8360
707-379C,8360
707-382B,8352
707-384B,8352
707-384C,8360
707-385C,8360
707-386C,8360
707-387B,8352
707-387C,8360
707-399C,8360
707-3B4C,8360
707-3B5C,8360
707-3D3C,8360
707-3F9C,8360
707-3J6B,8352
707-3J6C,8360
707-3J8C,8360
707-3J9C,8360
707-3K1C,8360
707-3L5C,8360
707-3L6B,8352
707-3M1C,8360
707-430,8342
707-430(F),8345
707-436,8342
707-437,8342
707-441,8342
707-458,8342
707-465,8342
717-200,6320
720-022,8300
720-023B,8305
720-024B,8305
720-025,8300
720-027,8300
720-030B,8305
720-040B,8305
720-047B,8305
720-048,8300
720-051B,8305
720-058B,8305
720-059B,8305
720-060B,8305
720-062,8300
720-068B,8305
727- 11(F),7360
727- 14,7350
727- 14(F),7360
727- 17,7350
727- 21(F)(HK),7362
727- 21(HK),7352
727- 21C,7362
727- 21C(HK),7362
727- 22(F)(HK),7362
727- 22(HK),7352
727- 22C(HK),7362
727- 23(F)(HK),7362
727- 23(HK),7352
727- 24C(HK),7362
727- 25(F)(HK),7362
727- 25(F)(W),7362
727- 25(HK),7352
727- 25C(HK),7362
727- 25C(W),7362
727- 27(F),7362
727- 27(F)(HK),7362
727- 27(HK),7352
727- 27C(HK),7362
727- 29,7350
727- 29(F)(W),7362
727- 29C,7360
727- 30(HK),7352
727- 30(W)(HK),7352
727- 30C(HK),7362
727- 30C(W),7362
727- 31,7350
727- 31(F)(HK),7362
727- 31C,7362
727- 31C(HK),7362
727- 35(F)(HK),7362
727- 35(HK),7352
727- 41,7350
727- 41(F),7360
727- 44,7350
727- 44(F)(HK),7362
727- 44C(HK),7362
727- 46(F)(HK),7362
727- 46(HK),7352
727- 51(F),7362
727- 51(F)(HK),7362
727- 51(HK),7352
727- 51C,7362
727- 51C(HK),7362
727- 59,7350
727- 59(F),7360
727- 61(HK),7352
727- 62C,7362
727- 62C(HK),7362
727- 63,7350
727- 64,7350
727- 76,7350
727- 76(F),7362
727- 76(F)(HK),7362
727- 77,7350
727- 77C,7362
727- 77C(HK),7362
727- 78(F),7360
727- 78(HK),7352
727- 81,7350
727- 81(F),7360
727- 82(F),7362
727- 82(HK),7352
727- 82C,7362
727- 82C(HK),7362
727- 82C(W),7362
727- 86,7350
727- 89(HK),7352
727- 90C(HK),7362
727- 92C,7360
727- 95(F),7360
727- 95(HK),7352
727- C3,7350
727- C3(F),7360
727-108C,7362
727-108C(HK),7362
727-113C,7360
727-114,7350
727-116,7350
727-116(F),7362
727-116(F)(HK),7362
727-116C(HK),7362
727-121C,7360
727-123,7350
727-134,7350
727-134C,7362
727-134C(HK),7362
727-151C,7362
727-151C(HK),7362
727-155C(HK),7362
727-162,7350
727-171C,7360
727-172C(HK),7362
727-173C(HK),7362
727-180C,7362
727-180C(HK),7362
727-185C,7362
727-185C(HK),7362
727-191(F),7360
727-191(HK),7352
727-193(HK),7352
727-1A0,7350
727-1A7C,7362
727-1A7C(HK),7362
727-1F8,7350
727-1J1,7350
727-208(HK),7422
727-212(F)(W)(HK),7427
727-212(HK),7422
727-214(HK),7422
727-217(F)(HK),7427
727-221(HK),7422
727-222(F)(HK),7427
727-222(HK),7422
727-223(F)(HK),7427
727-223(HK),7422
727-224(F)(HK),7427
727-224(HK),7422
727-225(F)(HK),7427
727-225(HK),7422
727-227(F)(HK),7427
727-227(HK),7422
727-228,7420
727-228(F)(HK),7427
727-230,7420
727-230(F)(HK),7427
727-231(F)(HK),7427
727-231(HK),7422
727-232(F)(HK),7427
727-232(HK),7422
727-233(F)(HK),7427
727-235(HK),7422
727-243(F)(HK),7427
727-243(HK),7422
727-247(F)(HK),7427
727-247(HK),7422
727-251(F)(HK),7427
727-251(HK),7422
727-254(HK),7422
727-256,7420
727-259(F)(HK),7427
727-259(HK),7422
727-260(HK),7422
727-264(F)(HK),7427
727-264(HK),7422
727-269(HK),7422
727-270(HK),7422
727-276(HK),7422
727-276(W)(HK),7422
727-277,7420
727-277(F)(HK),7427
727-277(F)(W),7425
727-281(F)(HK),7427
727-281(HK),7422
727-282(HK),7422
727-284,7420
727-286,7420
727-287(F)(HK),7427
727-287(HK),7422
727-290(HK),7422
727-291,7420
727-291(F)(HK),7427
727-294(HK),7422
