AIRPORT_ICAO,AIRPORT_IATA,AIRPORT_NAME,AIRPORT_CITY,AIRPORT_CITY_CD,AIRPORT_STATE_CD,AIRPORT_COUNTRY_CD,AIRPORT_COUNTRY,AIRPORT_REGION,AIRPORT_REGION_TIMEZONE,UTC_HR_OFFSET,AIRPORT_LATITUDE,AIRPORT_LONGITUDE,AIRPORT_ELEVATION,AIRPORT_SIZE,UPDATED_DT
AGGA,AKS,"Gwaunaru'u Airport",Auki,AKS,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-8.70428,160.681469,19,4,2017-10-10 11:17:20
AGGE,BAS,Balalae Airport,Balalae,BAS,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-6.993418,155.883276,53,4,2017-10-10 11:17:20
AGGH,HIR,Honiara International Airport,Honiara,HIR,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-9.428592,160.048182,30,4,2017-10-10 11:17:20
AGGL,SCZ,Santa Cruz Island Airport,Santa Cruz Island,SCZ,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-10.719397,165.797497,29,4,2017-10-10 11:17:20
AGGM,MUA,Munda Airport,Munda,MUA,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-8.32794,157.269712,9,4,2017-10-10 11:17:20
AGGN,GZO,Nusatupe Airport,Gizo,GZO,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-8.097871,156.863752,27,4,2017-10-10 11:17:20
AGGO,MNY,Mono Airport,Mono,MNY,"",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-7.417428,155.564628,117,4,2017-10-10 11:17:20
AGJO,JJA,Jajao Airport,Santa Isabel Island,"","",SB,Solomon Islands,Oceania,Pacific/Guadalcanal,11,-8.21666,159.26666,597,4,2017-10-10 11:17:20
ANAU,INU,Nauru Island International Airport,Nauru Island,INU,"",NR,Nauru,Oceania,Pacific/Nauru,12,-0.533333,166.916667,22,4,2017-10-10 11:17:20
APPB,PBO,Paraburdoo Airport,Paraburdoo,PBO,WA,AU,Australia,Oceania,Australia/Perth,8,-23.173908,117.748002,1406,4,2017-10-10 11:17:20
AYGA,GKA,Goroka Airport,Goroka,GKA,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-6.075244,145.392933,5208,4,2017-10-10 11:17:20
AYMD,MAG,Madang Airport,Madang,MAG,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-5.210852,145.787849,11,4,2017-10-10 11:17:20
AYMH,HGU,Mount Hagen Airport,Mount Hagen,HGU,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-5.828767,144.297376,5350,4,2017-10-10 11:17:20
AYNZ,LAE,Nadzab Airport,Lae,LAE,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-6.566117,146.728205,230,4,2017-10-10 11:17:20
AYOO,KOM,Komo Airport,Komo,KOM,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-6.0682,142.8598,5055,4,2017-10-10 11:17:20
AYPY,POM,Jacksons International Airport,Port Moresby,POM,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-9.444308,147.214469,126,3,2017-10-10 11:17:20
AYQO,SPH,Sopu Airport,Sopu,SPH,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-8.3038,147.1659,6488,4,2017-10-10 11:17:20
AYRB,RAB,Tokua Airport,Rabaul,RAB,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-4.342004,152.376486,45,4,2017-10-10 11:17:20
AYWD,WBM,Wapenamanda Airport,Wapenamanda,WBM,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-5.633084,143.89102,5895,4,2017-10-10 11:17:20
AYWK,WWK,Boram Airport,Wewak,WWK,"",PG,Papua New Guinea,Asia,Pacific/Port_Moresby,10,-3.580034,143.669155,19,4,2017-10-10 11:17:20
BGAG,AOQ,Aappilattoq-Upernanik Heliport,Aappilattoq,"","",GL,Greenland,North America,America/Godthab,-3,72.887041,-55.596145,0,4,2017-12-13 18:29:45
BGAM,AGM,Ammassalik Heliport,Tasiilaq,AGM,"",GL,Greenland,North America,America/Godthab,-3,65.612256,-37.61831,56,4,2017-12-13 18:29:45
BGAP,LLU,Alluitsup Paa Heliport,Alluitsup Paa,LLU,"",GL,Greenland,North America,America/Godthab,-3,60.464529,-45.588847,51,4,2017-12-13 18:29:45
BGAQ,QUV,Aappilattoq-Nanortalik Heliport,Aappilattoq,"","",GL,Greenland,North America,America/Godthab,-3,60.148344,-44.286883,4,4,2017-12-13 18:29:45
BGAS,QUW,Ammassivik Heliport,Ammassivik,"","",GL,Greenland,North America,America/Godthab,-3,60.596143,-45.377452,65,4,2017-12-13 18:29:45
BGBW,UAK,Narsarsuaq Airport,Narsarsuaq,UAK,"",GL,Greenland,North America,America/Godthab,-3,61.162598,-45.417921,214,4,2017-12-13 18:29:45
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,CNP,"",GL,Greenland,North America,America/Scoresbysund,-1,70.743056,-22.658333,45,4,2017-12-13 18:29:45
BGEM,JEG,Aasiaat Airport,Aasiaat,JEG,"",GL,Greenland,North America,America/Godthab,-3,68.7,-52.75,0,4,2017-12-13 18:29:45
BGET,QFG,Eqalugaarsuit Heliport,Eqalugaarsuit,"","",GL,Greenland,North America,America/Godthab,-3,60.619732,-45.914074,31,4,2017-12-13 18:29:45
BGFD,QFN,Narsaq Kujalleq Heliport,Narsaq Kujalleq,"","",GL,Greenland,North America,America/Godthab,-3,60.004684,-44.656972,41,4,2017-12-13 18:29:45
BGFH,JFR,Paamiut Airport,Paamiut,JFR,"",GL,Greenland,North America,America/Godthab,-3,62.000278,-49.700278,0,4,2017-12-13 18:29:45
BGGH,GOH,Nuuk Airport,Nuuk,GOH,"",GL,Greenland,North America,America/Godthab,-3,64.181944,-51.725,283,4,2017-12-13 18:29:45
BGHB,JHS,Sisimiut Airport,Sisimiut,JHS,"",GL,Greenland,North America,America/Godthab,-3,66.936944,-53.704167,0,4,2017-12-13 18:29:45
BGIA,IKE,Ikerasak Heliport,Ikerasak,"","",GL,Greenland,North America,America/Godthab,-3,70.498145,-51.303084,59,4,2017-12-13 18:29:45
BGIG,QFI,Iginniarfik Heliport,Iginniarfik,QFI,"",GL,Greenland,North America,America/Godthab,-3,68.145864,-53.169259,3,4,2017-12-13 18:29:45
BGIK,QRY,Ikerasaarsuk Heliport,Ikerasaarsuk,QRY,"",GL,Greenland,North America,America/Godthab,-3,68.140895,-53.441474,36,4,2017-12-13 18:29:45
BGIN,IUI,Innarsuit Heliport,Innarsuit,"","",GL,Greenland,North America,America/Godthab,-3,73.202364,-56.011326,8,4,2017-12-13 18:29:45
BGIO,QFX,Igaliku Heliport,Igaliku,"","",GL,Greenland,North America,America/Godthab,-3,60.990563,-45.421484,55,4,2017-12-13 18:29:45
BGIS,IOQ,Isortoq Heliport,Isortoq,"","",GL,Greenland,North America,America/Godthab,-3,65.54665,-38.977981,3,4,2017-12-13 18:29:45
BGJN,JAV,Ilulissat Airport,Ilulissat,JAV,"",GL,Greenland,North America,America/Godthab,-3,69.241856,-51.059911,98,4,2017-12-13 18:29:45
BGKK,KUS,Kulusuk Airport,Kulusuk,KUS,"",GL,Greenland,North America,America/Godthab,-3,65.566667,-37.116667,114,4,2017-12-13 18:29:45
BGKL,UPK,Upernavik Kujalleq Heliport,Upernavik Kujalleq,"","",GL,Greenland,North America,America/Godthab,-3,72.15273,-55.531099,3,4,2017-12-13 18:29:45
BGKM,KUZ,Kuummiit Heliport,Kuummiit,KUV,"",GL,Greenland,North America,America/Godthab,-3,65.864128,-36.998001,126,4,2017-12-13 18:29:45
BGKQ,KHQ,Kullorsuaq Heliport,Kullorsuaq,"","",GL,Greenland,North America,America/Godthab,-3,74.579439,-57.23544,11,4,2017-12-13 18:29:45
BGKS,KGQ,Kangersuatsiaq Heliport,Kangersuatsiaq,"","",GL,Greenland,North America,America/Godthab,-3,72.381092,-55.536586,3,4,2017-12-13 18:29:45
BGKT,QJE,Kitsissuarsuit Heliport,Kitsissuarsuit,QJE,"",GL,Greenland,North America,America/Godthab,-3,68.857926,-53.123296,3,4,2017-12-13 18:29:45
BGLL,IOT,Illorsuit Heliport,Illorsuit,"","",GL,Greenland,North America,America/Godthab,-3,71.23977,-53.555393,104,4,2017-12-13 18:29:45
BGMQ,JSU,Maniitsoq Airport,Maniitsoq,JSU,"",GL,Greenland,North America,America/Godthab,-3,65.412439,-52.93537,96,4,2017-12-13 18:29:45
BGNN,JNN,Nanortalik Heliport,Nanortalik,JNN,"",GL,Greenland,North America,America/Godthab,-3,60.141883,-45.232961,7,4,2017-12-13 18:29:45
BGNQ,JUU,Nuugaatsiaq Heliport,Nuugaatsiaq,"","",GL,Greenland,North America,America/Godthab,-3,71.538769,-53.205038,144,4,2017-12-13 18:29:45
BGNT,NIQ,Niaqornat Heliport,Niaqornat,"","",GL,Greenland,North America,America/Godthab,-3,70.789442,-53.656142,28,4,2017-12-13 18:29:45
BGNU,NSQ,Nuussuaq Heliport,Nuussuaq,"","",GL,Greenland,North America,America/Godthab,-3,74.109853,-57.065037,3,4,2017-12-13 18:29:45
BGQE,PQT,Qeqertaq Heliport,Qeqertaq,"","",GL,Greenland,North America,America/Godthab,-3,69.999466,-51.303705,3,4,2017-12-13 18:29:45
BGQK,QFT,Qassiarsuk Heliport,Qassiarsuk,"","",GL,Greenland,North America,America/Godthab,-3,61.152501,-45.519467,147,4,2017-12-13 18:29:45
BGQT,QJH,Qassimiut Heliport,Qassimiut,"","",GL,Greenland,North America,America/Godthab,-3,60.779352,-47.152561,3,4,2017-12-13 18:29:45
BGSC,OBY,Ittoqqortoormiit Heliport,Ittoqqortoormiit,OBY,"",GL,Greenland,North America,America/Scoresbysund,-1,70.488333,-21.971944,235,4,2017-12-13 18:29:45
BGSF,SFJ,Kangerlussuaq Airport,Kangerlussuaq,SFJ,"",GL,Greenland,North America,America/Godthab,-3,67.012222,-50.719722,165,4,2017-12-13 18:29:45
BGSI,SRK,Siorapaluk Heliport,Siorapaluk,SRK,"",GL,Greenland,North America,America/Thule,-4,77.786526,-70.638584,235,4,2017-12-13 18:29:45
BGSO,QOQ,Saarloq Heliport,Saarloq,"","",GL,Greenland,North America,America/Godthab,-3,60.537829,-46.02475,3,4,2017-12-13 18:29:45
BGSQ,QUP,Saqqaq Heliport,Saqqaq,QUP,"",GL,Greenland,North America,America/Godthab,-3,70.05,-52,388,4,2017-12-13 18:29:45
BGST,SAE,Saattut Heliport,Saattut,SAE,"",GL,Greenland,North America,America/Godthab,-3,70.808742,-51.626467,74,4,2017-12-13 18:29:45
BGSV,SVR,Savissivik Heliport,Savissivik,SVR,"",GL,Greenland,North America,America/Thule,-4,76.018608,-65.117578,0,4,2017-12-13 18:29:45
BGTA,TQA,Tasiusaq Heliport (Upernavik),Tasiusaq,"","",GL,Greenland,North America,America/Godthab,-3,73.373056,-56.060278,3,4,2017-12-13 18:29:45
BGTL,THU,Thule Air Base,Pituffik,THU,"",GL,Greenland,North America,America/Thule,-4,76.533333,-68.7,251,4,2017-12-13 18:29:45
BGTN,TQI,Tiniteqilaaq Heliport,Tiniteqilaaq,"","",GL,Greenland,North America,America/Godthab,-3,65.892015,-37.783347,3,4,2017-12-13 18:29:45
BGUK,JUV,Upernavik Airport,Upernavik,JUV,"",GL,Greenland,North America,America/Godthab,-3,72.790278,-56.130556,3,4,2017-12-13 18:29:45
BGUM,UMD,Uummannaq Heliport,Uummannaq,UMD,"",GL,Greenland,North America,America/Godthab,-3,70.680362,-52.111657,5,4,2017-12-13 18:29:45
BGUT,JUK,Ukkusissat Heliport,Ukkusissat,"","",GL,Greenland,North America,America/Godthab,-3,71.049438,-51.890016,0,4,2017-12-13 18:29:45
